Checkpoint [0]h: episode 1, avg_reward=598.0, avg_pos=679.0
Checkpoint [1]h: episode 2, avg_reward=407.5, avg_pos=480.5
Checkpoint [2]h: episode 3, avg_reward=314.0, avg_pos=383.3333333333333
Checkpoint [3]h: episode 4, avg_reward=298.25, avg_pos=366.25
Checkpoint [4]h: episode 5, avg_reward=354.8, avg_pos=424.8
Checkpoint [5]h: episode 6, avg_reward=336.8333333333333, avg_pos=405.6666666666667
Checkpoint [6]h: episode 7, avg_reward=304.7142857142857, avg_pos=372.57142857142856
Checkpoint [7]h: episode 8, avg_reward=294.875, avg_pos=362.0
Checkpoint [8]h: episode 9, avg_reward=274.77777777777777, avg_pos=341.1111111111111
Checkpoint [9]h: episode 10, avg_reward=279.8, avg_pos=345.9
Checkpoint [10]h: episode 11, avg_reward=276.7, avg_pos=344.3
Checkpoint [11]h: episode 12, avg_reward=280.5, avg_pos=347.9
Checkpoint [12]h: episode 13, avg_reward=328.2, avg_pos=396.9
Checkpoint [13]h: episode 14, avg_reward=328.3, avg_pos=397.0
Checkpoint [14]h: episode 15, avg_reward=282.3, avg_pos=349.4
Checkpoint [15]h: episode 16, avg_reward=282.6, avg_pos=349.8
Checkpoint [16]h: episode 17, avg_reward=284.7, avg_pos=351.8
Checkpoint [17]h: episode 18, avg_reward=287.4, avg_pos=354.7
Checkpoint [18]h: episode 19, avg_reward=351.1, avg_pos=424.0
Checkpoint [19]h: episode 20, avg_reward=343.7, avg_pos=416.5
Checkpoint [20]h: episode 21, avg_reward=298.9, avg_pos=368.2
Checkpoint [21]h: episode 22, avg_reward=298.6, avg_pos=367.9
Checkpoint [22]h: episode 23, avg_reward=250.9, avg_pos=318.7
Checkpoint [23]h: episode 24, avg_reward=250.9, avg_pos=318.6
Checkpoint [24]h: episode 25, avg_reward=295.5, avg_pos=367.2
Checkpoint [25]h: episode 26, avg_reward=295.7, avg_pos=367.3
Checkpoint [26]h: episode 27, avg_reward=321.0, avg_pos=396.1
Checkpoint [27]h: episode 28, avg_reward=320.9, avg_pos=395.9
Checkpoint [28]h: episode 29, avg_reward=256.9, avg_pos=326.6
Checkpoint [29]h: episode 30, avg_reward=257.0, avg_pos=326.7
